Well Name,Easting,Northing,MD,TVD,Azimuth,Inclination,Deviation-DownDip,Deviation-UpDip,Deviation-NoDip,Porosity%,Gross Thickness(ft),NTG,Sw(%),TOC %,Comp-Perforated Lateral (ft),Comp-Stimulated Lateral Length (ft),Comp-Clusters per Stage,Comp-Shot Density (shots-ft),Comp-Avg Stage Length(ft),Comp-Number of Stages,Stim-Avg. Tr. Pressure (psi),Stim-Avg. Tr. Rate (bbl-min),Stim-Fluid volume per Stage (bbl),Stim-clean volume per Stage (bbl),Stim-Slurry volume per Stage (bbl),Stim-Maximum propant Conc-(lb-gal),Stim-Proppant per stage(lb),30 Day Cum Gas (MCF),30 Day Cum Condensate (bbls),90 Day Cum Gas (MCF),90 Day Cum Condensate (bbls),120 Day Cum Gas (MCF),120 Day Cum Condensate (bbls),180 Day -Cum Gas (MCF),180 Day -Cum Condensate (bbls)
ISI-066,1667463.994,15951113.93,10998,6462.8,112.8,90.4,0,0,1,9.1,148,0.89,13.1,2.8,4103,4203,3,4,293.1,14,6321,69.5,26311,14378,11933,3,505293,71381,1699,183262,3934.2,232422,4739.05,316745,6110.82
ISI-067,1633976.014,15931072.89,10547,6277.4,316.2,90.7,0,0,1,9.2,129,0.82,10.2,2.8,2603,2703,3,4,289.2,9,6835,68.6,24733,13916,10818,3,498949,27010,4889,73096,10724.91,95754,12763.76,139146,16067.45
ISI-068,1641356.599,15925630.62,10505,6300.4,132.5,88.8,0,0,1,9.5,124,0.81,10.6,4,3803,3903,3.2,4,292.5,13,6066,67.9,24608,13835,10773,3,499014,58721,4684,153132,10604.88,199821,12739.09,286044,16042.77
ISI-069,1634570.212,15931621.96,9988,6278.2,313.5,89,0,0,1,9.1,130,0.84,10.7,2.6,3203,3303,3,4,291.2,11,6124,68.8,25121,14135,10986,3,502297,38914,4676,110269,10596.69,142460,12730.9,199810,16034.58
ISI-070,1681366.299,15940028.14,9963,6547.2,311.3,88.3,0,0,1,10.6,160,0.87,12.4,3.6,2303,2403,3,4,287.9,8,6223,68.7,24969,13986,10983,3,609708,146317,109,398735,644.54,498490,747.79,690662,1075
ISI-071,1658188.424,15924947.52,9158,6451.6,312.61,89.2,0,0,1,8.1,137,0.9,11.5,3,2160,2260,3.5,4,360,6,6282,56.4,27901,15887,12013,3,482950,84094,350,211659,596.52,264507,1113.8,355997,2072.51
ISI-072,1677179.14,15937896.78,11069,6466.8,303.6,92.5,0,0,1,8.9,156,0.9,9.8,3.8,3393,3493,3,4,282.8,12,6283,66.2,21882,12904,8978,3,505206,206170,6,457635,214.63,588844,292.98,807381,344.65
ISI-073,1626553.461,15911262.41,10245,6383.7,309.31,88.7,0,0,1,8.9,125,0.88,10.7,2.4,3203,3303,3,4,291.2,11,6359,67,24808,13944,10865,3,501809,43359,1047,136307,3796.64,184325,5138.98,269495,7634.06
ISI-074,1654262.716,15922119.2,8971,6353.2,113.8,90.5,0,0,1,9.4,133,0.94,10.2,3.1,2003,2103,3,4,286.1,7,7559,64.9,25812,14544,11268,3,491656,71840,1536,184015,2885.12,232974,3453.7,323716,4653.67
ISI-075,1647844.047,15939790.75,8992,6240.8,313.8,90.7,0,0,1,9.2,139,0.84,11.5,2.6,2352,2452,3.4,4,294,8,7750,53.7,16249,9343,6906,5,372928,12056,311,38434,1951.3,49889,2726.18,70774,3932.58
ISI-076,1690349.702,15932706.6,11188,6586.2,143,92.4,0,0,1,10.1,166,0.87,12.6,3.6,2903,3003,3,4,290.3,10,6126,70,24417,13860,10557,3,504510,109063,136,353552,287.04,493137,322.62,731567,432.55
ISI-077,1688435.517,15930285.01,10850,6555.4,141.8,90.1,0,0,1,8.9,171,0.93,11.3,3,3673,3773,3,4,282.5,13,6622,65.6,24340,13750,10589,3,487935,134404,136,356332,290.25,486599,324.04,732634,459.7
ISI-078,1630764.99,15901174.06,8572,6325.6,327.5,90.2,0,0,1,8.7,142,0.94,12.1,2.6,1722,1822,3,4,246,7,6237,98.9,24794,13906,10888,5,579713,112568,390,248691,2300.39,296476,4105.16,387208,7152.2
ISI-079,1662293.163,15936467.23,9830,6190.4,134.2,94.5,0,1,0,10.4,120.91,0.94,9.6,3.5,2914,3014,3,4,291.4,10,6836,67.7,26101,14658,11443,4,555772,60323,370,151858,1987.83,195590,2937.73,273239,4631.68
ISI-080,1667285.813,15920883.57,9700,6499,321.7,90.1,0,1,0,9.4,164,0.91,11,2.8,2603,2703,3,4,289.2,9,6225,70.1,24268,13648,10620,3,507226,90515,599,224471,1275.09,277124,1445.44,372945,1741.87
ISI-081,1666402.132,15920642.4,10100,6504.9,322.1,89.1,0,1,0,9.5,164,0.91,11,2.8,2903,3003,3,4,290.3,10,6456,67.4,23776,13354,10422,3,507956,89549,599,229006,1185.32,285094,1272.75,385815,1620.39
ISI-082,1665519.87,15920003.35,11080,6481.1,328.2,91.3,0,1,0,9.3,164,0.94,11.5,2.5,2903,3003,3,4,290.3,10,6754,69.3,24627,13849,10778,3,509191,90568,599,238114,1185.32,302010,1493.85,422917,2066.2
ISI-083,1679771.08,15878858.39,11261,7400.8,301.4,90.6,0,1,0,8.1,220,0.64,17.2,2.6,3430,3530,3.3,4,311.8,11,6595,67.5,24473,13764,10709,3,504995,35475,0,150311,0,208413,0,335960,0
ISI-084,1641871.628,15911825.08,9653,6423.8,318.5,90,0,1,0,9.7,131,0.95,9.3,3,2902,3002,3,4,290.2,10,6729,63.5,24323,13673,10651,3,500750,124020,1514,254874,3463.92,307397,4395.87,404152,6038.57
ISI-085,1643041.352,15912211.57,9749,6444,315.2,88.9,0,1,0,10.3,132,0.96,9.9,3.1,2378,2478,3,4,297.3,8,6865,59.4,22260,12533,9727,3,440067,161888,2545,344935,4297.86,421449,5217.18,558484,6756.01
ISI-086,1649945.768,15920754.73,9520,6553.1,308.3,88.9,0,1,0,9.6,136,0.92,10.3,2.8,2473,2573,3,4,309.1,8,6145,68.1,24068,13529,10539,3,506966,95571,883,257481,2876.42,324226,4724.99,439624,7087.16
ISI-087,1643232.041,15930390.68,8645,3850,140.4,90.7,0,1,0,9.4,131,0.84,10.8,2.7,2003,2103,2.8,4,117.8,17,6712,69.7,24281,13641,10640,3,496781,9627,281,28157,281.26,36488,585.18,53387,1260.3
ISI-088,1645413.542,15935070.22,10508,6283.9,329.3,90,0,1,0,9.1,127,0.87,9.1,3.1,3511,3611,3,4,292.6,12,6053,68.2,24400,13721,10680,3,499719,88294,4674,233383,9712.05,297342,11728.62,419509,15208.66
ISI-089,1661961.635,15955228.48,12408,6400.7,290.5,92,0,1,0,9.3,154,0.92,12.9,2.4,5012,5112,3,4,294.8,17,6712,69.7,24281,13641,10640,3,496781,140635,2556,305128,6327.77,368109,7216.53,490597,8729.82
ISI-090,1661334.124,15954703.53,9057,6442.2,297.7,91.2,0,1,0,8.3,154,0.88,12.9,2.6,2002,2102,5,4,286,7,6575,69.8,24464,13761,10703,3,505726,56283,1718,101306,4032.21,117483,4783.09,145826,6158.06
ISI-091,1660699.647,15953819.24,10012,6451.1,296,91.4,0,1,0,8.7,153,0.85,13.7,2.5,2852,2952,5,4,285.2,10,6360,70.4,24330,13699,10631,3,502105,47641,1738,107225,4051.32,126900,4802.2,152981,6177.17
ISI-092,1636288.337,15931359.15,8722,6249.5,306.7,89.9,0,1,0,9.3,130,0.82,10.2,2.8,2127,2227,4,6,425.4,5,7200,94.6,37371,21202,16170,2,480271,26598,341,72858,2030.58,94406,3727.4,135907,6798.36
ISI-093,1688414.586,15882211.39,11342,7412.3,349.8,91.4,0,1,0,8.3,217,0.75,11.9,2.8,2302,2402,5,4,287.8,8,7131,68.6,24533,13800,10733,3,505391,63995,0,237640,0,323060,1.49,455013,1.49
ISI-094,1685990.653,15882251.36,10584,7386.6,344.2,91.9,0,1,0,8.3,217,0.75,11.9,2.8,2602,2702,4.6,4,289.1,9,6823,65.7,23976,13483,10494,3,496086,63311,0,176792,1.46,243429,1.49,359543,1.49
ISI-095,1685730.455,15881980.18,10140,7394.3,344.8,90.9,0,1,0,8.2,217,0.73,12,2.8,1702,1802,5,4,283.7,6,7101,65,24937,14029,10908,3,503523,39040,0,146534,0,218560,0,289466,1.49
ISI-096,1687188.622,15882174.02,10960,7393.4,337.2,92.3,0,1,0,8.3,217,0.75,11.9,2.8,2002,2102,4.7,4,286,7,6980,66.3,25103,14125,10978,3,504152,52001,0,145339,1.49,199809,1.49,291980,1.49
ISI-097,1667225.096,15925530.86,9372,6558.6,328.21,90.65,0,1,0,9.2,153,0.91,10.6,2.4,2131,2231,3.8,4,426.2,5,6529,67.3,34507,19583,14924,2,435813,60214,556,137438,1259.19,170495,1374.73,232582,1532.27
ISI-098,1654840.653,15928994.81,9535,6486.8,315.41,91.02,0,1,0,10.6,128,0.91,8.9,3,2148,2248,4,6,429.6,5,7142,98.6,44929,25552,19377,2,473111,44435,40,113561,726.46,149610,2025.04,216581,2414.81
ISI-099,1654527.26,15928382.13,10007,6502.1,339.8,90.7,0,1,0,10.6,129,0.93,9.5,3.2,2143,2243,3,4,267.9,8,7103,69.2,24188,13576,10611,4,548697,55274,886,144845,2802.02,181216,3723.06,247327,5286.74
ISI-100,1680735.687,15939286.41,9340,6504.5,308.9,87.4,0,1,0,10.5,160,0.88,11.6,3.7,2303,2403,3,4,287.9,8,6061,69.5,23871,13355,10516,3,607885,138359,0,422456,541.48,533371,680.02,720954,991.8
ISI-101,1615570.383,15927134.28,12659,6209.9,328.3,91.6,0,1,0,9.3,120,0.78,12.9,2.7,4503,4603,3,4,281.4,16,6276,69.6,22459,13198,9260,3,503932,43133,3388,122998,7857.27,156129,9653.78,263725,13303.42
ISI-102,1615357.729,15924208.19,9315,6214.1,333.9,92,0,1,0,8.7,119,0.79,11.6,2.3,2468,2568,3,4,274.2,9,6232,69.1,23949,13463,10486,3,505327,55323,2539,135303,6598.92,171887,8111.04,238434,10702.04
ISI-103,1611819.661,15925259.79,12927,6190.8,324.7,92,0,1,0,8.3,118,0.79,12.5,2.6,4096,4196,3,4,292.6,14,6368,64.6,22435,13222,9213,3,504386,52392,3249,124023,7603.59,165238,9216.88,250990,11329.26
ISI-104,1655642.852,15936216.73,9480,6329.4,325,91.5,0,1,0,9.5,128,0.87,10.6,3,2957,3057,1,4,369.6,8,6180,73.7,23808,13379,10429,4,514449,34823,296,79945,1228.33,99386,1578.65,135372,2267.69
ISI-105,1657797.427,15935554.94,8640,6345.1,330.2,89.7,0,1,0,9.7,127,0.88,10.6,3.4,1794,1894,2,6,256.3,7,7062,68,21807,12266,9541,6,452954,3986,82,12961,81.76,18235,81.76,27879,81.76
ISI-106,1660376.158,15939083.8,8655,6306.3,319.2,91.8,0,1,0,10.4,127,0.92,9.3,3.4,5624,5724,1.2,4,562.4,10,6147,69.4,24180,13597,10582,3,503795,413,2485,1482,2485.23,1860,2485.23,27879,2485.23
ISI-107,1659001.914,15935705.49,9037,6250.6,330,88.6,0,1,0,9.1,128,0.89,9.5,3.5,1962,2062,3,6,280.3,7,7062,68,21807,12266,9541,6,452954,42549,21,119890,1204.14,154326,1902.46,210824,2681.98
ISI-108,1671487.38,15927998.09,10050,6498.4,336,93.2,0,1,0,8.6,155,0.87,11.9,3,2898,2998,3.3,4,289.8,10,6147,69.4,24180,13597,10582,3,503795,110766,324,273572,679.98,341207,756.5,469894,928.21
ISI-109,1672980.889,15927627.7,9440,6562,325.6,90.5,0,1,0,8.4,157,0.88,12,2.9,2003,2103,3,4,286.1,7,6368,68.6,23829,13395,10433,3,505207,109720,310,261256,687.7,317396,824.19,415539,1123.14
ISI-110,1670822.403,15927431.47,10150,6527.8,341.8,91.2,0,1,0,8.8,154,0.88,11.3,2.8,2603,2703,3,4,289.2,9,6246,69.2,24261,13643,10618,3,504530,109107,310,256561,1146.34,318610,2492.9,428505,3469.77
ISI-111,1681139.307,15934618.15,9880,6497.7,229.3,90.4,0,1,0,9.6,159,0.91,10.2,3.9,1955,2055,3,4,488.8,4,7074,65.8,23963,13506,10457,3,453368,49709,471,130318,1003.41,165267,1193.75,223115,1342.03
ISI-112,1682168.68,15933023.13,9282,6458.2,132.29,88.64,0,1,0,10.1,162,0.94,10.4,4,2002,2102,3,4,286,7,6820,67.8,22824,12856,9968,3,444059,179114,4,423080,4.08,520494,161.92,676585,264.4
ISI-113,1677192.129,15936632.66,9245,6509.5,297.22,91.05,0,1,0,9.2,156,0.91,9.9,3.8,2218,2318,3,4,277.3,8,6240,74.7,23738,13354,10385,3,489857,268288,886,567678,1002.25,689343,1002.25,873096,1396.7
ISI-114,1649107.493,15926182.71,9888,6335,331.7,88.7,0,1,0,10.4,131,0.94,10.7,3,2603,2703,3,4,289.2,9,7464,68.2,24807,13960,10847,3,500656,78274,1535,171491,3485.71,209846,4182.84,282429,5302.67
ISI-115,1650050.83,15926721.03,10430,6330.2,324,90.3,0,1,0,10.4,129,0.96,10.4,3.1,2903,3003,3,4,290.3,10,7908,68,24489,13774,10715,3,503720,73295,1535,177807,3349.4,220676,3991.24,301909,5158.03
ISI-116,1650797.694,15927658.11,11804,6311.2,325.4,91,0,1,0,10,128,0.95,10.1,3.5,4103,4203,3,4,293.1,14,7959,67.7,25261,14214,11047,3,503365,79082,1532,198855,3011.31,256643,3740.01,364069,4773
ISI-117,1638247.813,15945091.61,9500,6092.9,314.1,89.2,0,1,0,9.2,144,0.89,13.4,2.1,2602,2702,3,4,289.1,9,6363,63.1,23459,13209,10250,3,464838,35067,789,87034,788.92,108671,1466.67,147932,3140.38
ISI-118,1647183.974,15923944.43,9258,6368.6,294.1,88.6,0,1,0,10.2,133,0.93,10.9,3,2192,2292,3.8,6,438.4,5,6925,90.4,35969,20396,15573,2,481017,83713,2145,191088,5994.12,237489,7395.11,308588,9982.93
ISI-119,1655470.052,15915740.88,11128,6527.1,324.8,89.8,0,1,0,10.5,160,0.94,11.9,2.8,4021,4121,3,4,287.2,14,6772,59.5,18349,10821,7529,3,424030,142365,2394,386793,4764.19,496492,5629.25,308588,9982.93
ISI-120,1654785.3,15914977.68,11470,6539.8,324.1,89.9,0,1,0,10.7,159,0.95,11.4,2.9,3548,3648,3,4,272.9,13,7194,60.4,21672,12786,8886,3,504364,146706,2186,369242,3923.29,468407,4997.16,308588,9982.93
ISI-121,1661532.62,15909587.11,10280,6611.4,157.1,89.8,0,1,0,10.9,174,0.95,12.1,2.8,2642,2742,3,4,330.3,8,6840,65.6,19599,11590,8009,3,403720,96770,1074,203581,2039.59,247004,2467.4,308588,9982.93
ISI-122,1646901.036,15918232.74,10513,6480.2,141.1,93.7,0,1,0,10.4,127,0.88,10.4,3.3,2911,3011,3,4,291.1,10,6864,67.2,24150,13537,10613,3,501741,56972,1837,129913,3963.18,163596,4819.67,225320,6404.58
ISI-123,1661913.673,15935522.42,8936,6282.6,330.7,91.5,0,1,0,8,130,0.93,10,3.3,2408,2508,1,4,301,8,6032,68.8,23265,13079,10186,5,493378,61797,404,150147,1097.43,188334,1663.51,260817,2598.47
ISI-124,1661196.15,15935698.35,9570,6145.9,338.2,90.9,0,1,0,8.3,130,0.9,10.2,3.3,3058,3158,4.8,6,611.6,5,7298,95.3,36512,20747,15765,2,418911,47554,0,132322,465.09,171435,875.18,240872,1510.13
ISI-125,1651758.277,15931483.46,9375,6526.5,346,89.4,0,1,0,8.8,129,0.86,9.1,3.1,2303,2403,3,4,287.9,8,6625,66.6,25346,14260,11086,3,492374,50905,502,136494,2172.57,174422,3022.79,243997,4037.72
ISI-126,1650762.185,15931153.47,9835,6520,343,90.3,0,1,0,8.4,128,0.86,9.4,3.2,2303,2403,3,4,287.9,8,6688,66.8,25134,14139,10995,3,501430,31626,481,88613,2138.13,119900,2904.97,178487,3984.16
ISI-127,1674432.058,15936439.98,9196,6367.3,301.29,91.14,0,1,0,9.1,151,0.89,10.8,3.3,2361,2461,4,6,393.5,6,6964,99,31291,17950,13341,2,102552,43302,107,115841,470.03,148470,470.03,215077,790.44
ISI-128,1673264.203,15936089.72,9484,6417.2,309.24,89.14,0,1,0,9.2,149,0.91,11.8,3.5,1402,1502,3,4,280.4,5,5376,53.7,20896,11759,9137,3,425003,58763,402,141735,744.12,167077,939,208013,939
ISI-129,1675504.939,15929173.05,9112,6301.1,327.5,90.2,0,1,0,9.1,159,0.85,12,3.1,2308,2408,3,4.6667,288.5,8,7469,61.1,22381,12556,9825,4,518737,183388,767,376535,776.17,464688,978.01,584961,2242.58
ISI-130,1675655.416,15930560.09,9112,6264.2,321.66,90.12,0,1,0,9.1,158,0.87,12.6,3.5,2282,2382,4,6,456.4,5,7421,94.3,37696,21381,16315,2,485353,89159,23,257892,299.99,332106,312,474788,557.82
ISI-131,1661765.867,15939457.6,8796,6378.1,320,89.6,0,1,0,9.9,126,0.96,8,3.5,2193,2293,1,6,313.3,7,5460,57.4,22922,12893,10029,4,475178,54147,79,138532,830.98,170568,1144.18,229412,2214.86
ISI-132,1660595.22,15942134.66,9250,6329.4,301,90.4,0,1,0,9.7,132,0.93,8.6,3.4,2451,2551,3,4,306.4,8,6238,69.1,24179,13595,10584,3,507175,78643,263,191653,2149.18,239299,2909.68,326213,4289.31
ISI-133,1646580.801,15939982.43,8991,6248.8,322.6,91.8,0,1,0,9.3,146,0.75,11.9,2.7,1602,1702,3,6,267,6,7899,53.3,19456,11821,7635,5,258574,7958,146,24275,649.61,29608,997.61,39109,1456.97
ISI-134,1655388.929,15920448.17,9951,6413.5,317.7,90.77,0,1,0,9.4,145,0.93,11.2,2.9,2433,2533,3.1,4,304.1,8,5809,69.6,24141,13571,10570,3,503293,97896,1108,266473,2714.17,340152,3292,473463,4480.57
ISI-135,1655341.526,15919228.57,8613,6414.9,323,91,0,1,0,9.8,148,0.91,11.8,2.9,1700,1800,3,4,283.3,6,5882,70.7,23869,13422,10448,3,506460,68225,1108,188181,2714.17,238054,3292,327262,4480.57
ISI-136,1670276.224,15932732.93,9345,6220.3,353.15,90.15,0,1,0,9.5,144,0.91,11.2,3.1,2049,2149,3.1,4,292.7,7,6109,69.9,27489,15453,12036,5,576633,139559,29,320979,432.96,399061,667.52,543549,990.78
